K Value,Silhouette Score,Davies-Bouldin Score,Median Cluster Size,Runtime (sec),n_init (Screening),Silhouette Score (x10e-2)
20,0.023051096126437187,5.806305516518126,623.5,11.783329010009766,3,2.3051096126437187
21,0.024406202137470245,5.7188209539588115,590.0,11.866767168045044,3,2.4406202137470245
22,0.0244167260825634,5.54754322857923,535.5,12.00903868675232,3,2.44167260825634
23,0.02445472776889801,5.599765917277042,513.0,11.683006048202515,3,2.445472776889801
24,0.02540203183889389,5.657802781136858,536.0,11.7662034034729,3,2.540203183889389
25,0.02473662607371807,5.657069477829502,496.0,11.83392071723938,3,2.473662607371807
26,0.024111660197377205,5.61579813537838,507.0,11.995518445968628,3,2.4111660197377205
27,0.0249980129301548,5.584692861677635,477.0,12.109557151794434,3,2.49980129301548
28,0.024689985439181328,5.592065803154843,477.0,12.121317148208618,3,2.468998543918133
29,0.024120459333062172,5.640459141287605,423.0,11.824335813522339,3,2.412045933306217
30,0.021498307585716248,5.63294062972246,445.5,11.900211811065674,3,2.1498307585716248
31,0.023880722001194954,5.282173555317501,380.0,11.773410081863403,3,2.3880722001194954
32,0.023825256153941154,5.505228894264789,414.5,11.861417531967163,3,2.3825256153941154
33,0.026794113218784332,5.242803523571934,433.0,11.824041604995728,3,2.6794113218784332
34,0.020730093121528625,5.551479661046734,382.5,12.049777507781982,3,2.0730093121528625
35,0.02649329975247383,5.393325596820838,366.0,12.03779911994934,3,2.649329975247383
36,0.026444045826792717,5.397780829534002,348.0,12.14549207687378,3,2.6444045826792717
37,0.026230596005916595,5.418003455226501,333.0,12.255316972732544,3,2.6230596005916595
38,0.025859719142317772,5.352925008598294,304.0,12.028968811035156,3,2.585971914231777
39,0.025717509910464287,5.373986393951739,303.0,12.400652647018433,3,2.5717509910464287
40,0.022503603249788284,5.408927653474444,310.5,11.014379501342773,3,2.2503603249788284
41,0.024677643552422523,5.2841593748058235,313.0,12.044904947280884,3,2.4677643552422523
42,0.024926869198679924,5.391326249000553,297.0,12.325279951095581,3,2.4926869198679924
43,0.023775644600391388,5.420433163055424,335.0,11.480117321014404,3,2.377564460039139
44,0.02413060888648033,5.366111412495465,289.0,10.923407793045044,3,2.413060888648033
45,0.0232700128108263,5.331877337236414,298.0,10.942204475402832,3,2.32700128108263
46,0.02568621188402176,5.119151325469282,259.0,10.716143131256104,3,2.568621188402176
47,0.023891327902674675,5.211075774654737,274.0,10.760202407836914,3,2.3891327902674675
48,0.024351604282855988,5.274391385834782,263.5,10.633225917816162,3,2.4351604282855988
49,0.02610747329890728,5.132011746115128,256.0,10.499349355697632,3,2.610747329890728
50,0.025879530236124992,5.132060105675457,289.0,10.465177297592163,3,2.5879530236124992
51,0.024449190124869347,5.174296181665534,254.0,10.795153856277466,3,2.4449190124869347
52,0.024087393656373024,5.383532654535714,271.5,10.882201671600342,3,2.4087393656373024
53,0.024118036031723022,5.260240620778926,238.0,11.032622337341309,3,2.4118036031723022
54,0.02535618096590042,5.071531210004005,248.0,10.954661130905151,3,2.535618096590042
55,0.02412794902920723,5.149833597077875,231.0,11.040577411651611,3,2.412794902920723
56,0.025092417374253273,5.122935593966228,227.5,11.078007221221924,3,2.5092417374253273
57,0.024269452318549156,5.130106572683247,241.0,11.012047290802002,3,2.4269452318549156
58,0.02457813173532486,5.068130017196648,226.5,11.471953868865967,3,2.457813173532486
59,0.024639833718538284,5.082465954607683,219.0,11.151879072189331,3,2.4639833718538284
60,0.024785364046692848,5.147688618476882,223.5,10.949664831161499,3,2.478536404669285
61,0.02501620352268219,5.121238056901905,212.0,11.293452739715576,3,2.501620352268219
62,0.025388669222593307,5.103280598951883,214.5,10.89401125907898,3,2.5388669222593307
63,0.02480187453329563,5.098883492585291,210.0,11.240870714187622,3,2.480187453329563
64,0.025082187727093697,5.071683326798251,200.5,11.19977855682373,3,2.5082187727093697
65,0.025236567482352257,5.052820618381214,193.0,11.145205020904541,3,2.5236567482352257
66,0.02532731369137764,4.940944096492441,192.5,11.269691705703735,3,2.532731369137764
67,0.025419775396585464,5.066638141089258,192.0,13.2382173538208,3,2.5419775396585464
68,0.02687961421906948,4.976131308642188,193.5,13.584538698196411,3,2.687961421906948
69,0.02578486129641533,5.045111103874391,185.0,13.567180156707764,3,2.578486129641533
70,0.025626165792346,5.015234308808404,185.0,12.015260934829712,3,2.5626165792346
71,0.02589527890086174,5.0334282693340935,184.0,11.174853324890137,3,2.589527890086174
72,0.02632712945342064,4.973928240710269,169.0,11.100404500961304,3,2.632712945342064
73,0.026704788208007812,4.824336864485575,186.0,11.533504009246826,3,2.6704788208007812
74,0.027932507917284966,4.811296793469549,177.0,11.196053504943848,3,2.7932507917284966
75,0.025933869183063507,4.92654824818684,178.0,11.736815214157104,3,2.5933869183063507
76,0.026767626404762268,4.971238598554786,172.5,11.74808144569397,3,2.676762640476227
77,0.027079883962869644,4.996500566802973,171.0,11.944068193435669,3,2.7079883962869644
78,0.026200687512755394,4.867306509662782,161.0,12.760934829711914,3,2.6200687512755394
79,0.02681654691696167,4.80614319805105,177.0,13.482286930084229,3,2.681654691696167
80,0.028402820229530334,4.846098248182484,176.5,13.837470769882202,3,2.8402820229530334
