Threshold Proportion,Threshold Percent,Threshold Abs,Optimal K,Silhouette Score,Silhouette Score (x10e-2),Davies-Bouldin Score,Median Cluster Size,Oversegmentation
0.01,1%,137.29,78.0,0.027838371694087982,2.783837169408798,4.757749435538357,159.0,False
0.015,1.5%,205.935,59.0,0.027055656537413597,2.7055656537413597,4.985920807404451,227.0,False
0.02,2%,274.58,32.0,0.025071628391742706,2.5071628391742706,5.4192861722000725,434.0,False
