threshold_percent,threshold_abs,optimal_k,silhouette_score,davies_bouldin_score,median_cluster_size,oversegmentation,redundant_pair_ratio
0.01,137.29,74.0,0.0492356855418258,4.0592003988310825,144.0,False,0.023694927804516847
0.015,205.935,47.0,0.041770188066489675,4.474147499205474,211.0,False,0.01942645698427382
0.02,274.58,31.0,0.03576788210447012,4.757475239410821,289.0,False,0.01935483870967742
