k,silhouette_score,davies_bouldin_score,median_cluster_size,runtime_sec
20,0.029515685927764976,5.280344580668936,575.0,6.156232118606567
21,0.029719086082835956,5.100612372299548,456.0,6.043347597122192
22,0.02853121638760834,5.038557203454362,413.0,5.9423158168792725
23,0.032375182349827,5.110296457851811,538.0,6.1322853565216064
24,0.03050502651955072,5.083262185194722,428.5,5.987576007843018
25,0.031651814669830275,4.9315459312155925,369.0,6.310498237609863
26,0.0322325693201602,4.836589763316999,388.5,6.15859842300415
27,0.033242799303287225,4.925940332219013,370.0,6.338461637496948
28,0.031129470768536692,4.75033085088846,275.5,6.660013437271118
29,0.033427138597508683,4.948083437265873,286.0,7.424504995346069
30,0.033693735201045946,4.886863219528879,329.0,6.6704230308532715
31,0.03576788210447012,4.757475239410821,289.0,6.718740463256836
32,0.03401016257596443,4.826617902636839,271.0,6.911281585693359
33,0.03411997732734858,4.541507008682243,252.0,6.708614826202393
34,0.030338018954920953,4.605541913203507,244.0,6.858086585998535
35,0.03376841277937223,4.7716716227687455,263.0,6.963898181915283
36,0.033217758598205784,4.675640003913681,221.0,6.93622899055481
37,0.036802319184500464,4.442357411604621,261.0,7.201523780822754
38,0.036038002765794476,4.406373292797123,222.0,7.103757619857788
39,0.03509078192616315,4.678997451812092,244.0,7.38163161277771
40,0.03697680845862427,4.446776483592436,205.5,7.641794681549072
41,0.03665540810082963,4.309424740552565,190.0,7.538982152938843
42,0.03716818789458701,4.617699922192888,231.0,7.845803737640381
43,0.03897057525053942,4.539496284677113,209.0,7.340331315994263
44,0.041413550997101777,4.463545559398271,200.5,7.817309856414795
45,0.03554184562660226,4.233017556148869,197.0,8.132981061935425
46,0.03872174127527868,4.3635972159112715,198.5,8.089615106582642
47,0.041770188066489675,4.474147499205474,211.0,7.924679517745972
48,0.038875184438256875,4.446202000944408,188.5,8.204057455062866
49,0.04138839008346999,4.370528884864767,188.0,7.9710853099823
50,0.042134604020563356,4.442808450712788,193.0,8.587719917297363
51,0.04053334432424883,4.168856063760746,175.0,8.211347103118896
52,0.04383382175523358,4.426902212609583,184.5,8.19511342048645
53,0.04033791941228452,4.484516734530722,208.0,8.688666343688965
54,0.04229982869090259,4.237123449450032,188.5,8.486928224563599
55,0.042216843994690896,4.283355391876623,171.0,8.754683256149292
56,0.039663917412642295,4.198893698932328,165.5,8.863971710205078
57,0.044597238061202193,4.236440813790102,177.0,9.314234256744385
58,0.04113486623673849,4.177353337493542,166.0,9.223447322845459
59,0.04296955543175803,4.100817305792451,170.0,9.187296867370605
60,0.04703151820734624,4.250240312865228,164.5,8.75046992301941
61,0.042681266232897155,4.140418409599687,154.0,9.100236177444458
62,0.04473727859935036,4.165277495933831,169.0,9.30614161491394
63,0.04435440418628831,4.196135881897008,168.0,9.493257522583008
64,0.044110298693909526,4.13183860433696,160.5,10.340052843093872
65,0.045757821379194374,4.094189850468714,142.0,9.45739221572876
66,0.04706868716554231,4.149205709077899,152.5,10.000790357589722
67,0.045882949124194695,4.165225286631855,153.0,9.862235069274902
68,0.04497314364808744,4.125044889546804,147.0,9.913206338882446
69,0.04513055226391405,4.079708508765864,143.0,9.754838705062866
70,0.04577254145096758,4.102257930721134,153.0,9.728874206542969
71,0.04434159780581439,4.107443471771365,140.0,10.840893745422363
72,0.046700795610452435,4.065424548546299,136.5,9.85795521736145
73,0.04782726776334249,4.064791587529288,150.0,10.233427047729492
74,0.0492356855418258,4.0592003988310825,144.0,10.108632564544678
75,0.04735569672203618,4.067506534541591,133.0,10.392942667007446
76,0.04618543536758235,4.0509919204974345,134.5,10.85886812210083
77,0.04840908671768802,3.9588790360994484,131.0,12.015024423599243
78,0.04910442981932471,3.9487291461406904,132.0,10.890121698379517
79,0.04852919906365728,3.9947118543281372,138.0,10.688750267028809
80,0.048846595135053725,3.9726127350641534,124.0,11.062232494354248
