Interaction,Categories Tested,L1 Total Abs Pct Diff,Total Variation Distance,Max Abs Pct Diff,Cramers V,P Value,Min Expected Count,Expected Cells Below 5,P Value Adj Bh
Queue × Priority,29,0.04902349631415544,0.02451174815707772,0.012589027297355185,0.034940950313243534,0.35334500701187416,32.94006385644425,0,0.44672088291241724
Queue × Type,39,0.06156658786254236,0.03078329393127118,0.010936034727479116,0.039447747314556005,0.44672088291241724,24.037343895243097,0,0.44672088291241724
