Dimension,Max Diff Category,Signed Pct Diff at Max,Max Abs Pct Diff,L1 Total Abs Pct Diff,Total Variation Distance
Priority,Medium,0.00952855306239675,0.00952855306239675,0.01905710612479347,0.009528553062396736
Type,Problem,-0.004898935863258708,0.004898935863258708,0.009797871726517457,0.0048989358632587285
Queue,Product Support,0.012406606954778188,0.012406606954778188,0.039399685761384626,0.019699842880692313
Version,400.0,-0.026631650566955933,0.026631650566955933,0.05326330113391192,0.02663165056695596
