Fold,ROC AUC
1,0.5195221440404877
2,0.522725003545784
3,0.5147669089260853
4,0.50594494839377
5,0.5161232786455802
Mean,0.5158164567103415
Std Dev,0.006326580922224677
Minimum,0.50594494839377
Maximum,0.522725003545784
