Dimension,Dataset,Category,Proportion
Priority,Full population,Medium,0.40314432364709213
Priority,Full population,High,0.3901305419714667
Priority,Full population,Low,0.20672513438144122
Priority,English subset,Medium,0.4073858256245903
Priority,English subset,High,0.3863354942093379
Priority,English subset,Low,0.20627868016607182
Type,Full population,Incident,0.4021339368710342
Type,Full population,Request,0.2861011195085479
Type,Full population,Problem,0.21137291355130744
Type,Full population,Change,0.10039203006911046
Type,English subset,Incident,0.4028698375701071
Type,English subset,Request,0.28618253332362154
Type,English subset,Problem,0.20919222084638356
Type,English subset,Change,0.10175540825988783
Queue,Full population,Technical Support,0.2934163197672069
Queue,Full population,Product Support,0.18429454795295638
Queue,Full population,Customer Service,0.15083053792991957
Queue,Full population,IT Support,0.11894273127753303
Queue,Full population,Billing and Payments,0.09800751727761386
Queue,Full population,Returns and Exchanges,0.04954936749787819
Queue,Full population,Service Outages and Maintenance,0.04138544234733056
Queue,Full population,Sales and Pre-Sales,0.030837004405286344
Queue,Full population,Human Resources,0.019116517803014994
Queue,Full population,General Inquiry,0.013620013741260154
Queue,English subset,Technical Support,0.28924175103794886
Queue,English subset,Product Support,0.18981717532231043
Queue,English subset,Customer Service,0.14895476728093815
Queue,English subset,IT Support,0.1171971738655401
Queue,English subset,Billing and Payments,0.09825915944351372
Queue,English subset,Returns and Exchanges,0.049967222667346496
Queue,English subset,Service Outages and Maintenance,0.042319178381528155
Queue,English subset,Sales and Pre-Sales,0.029863791973195424
Queue,English subset,Human Resources,0.02075897734722121
Queue,English subset,General Inquiry,0.013620802680457426
Version,Full population,400,0.6572768055611689
Version,Full population,52,0.30760215010305947
Version,Full population,51,0.035121044335771734
Version,English subset,400,0.6454220992060602
Version,English subset,52,0.3144438779226455
Version,English subset,51,0.04013402287129434
