Priority,English Count,Full Count,English Pct,Full Pct,Signed Pct Diff,Absolute Pct Diff
Medium,5593,9975,0.4073858256245903,0.40314432364709213,0.004241501977498174,0.004241501977498174
High,5304,9653,0.3863354942093379,0.3901305419714667,-0.0037950477621288004,0.0037950477621288004
Low,2832,5115,0.20627868016607182,0.20672513438144122,-0.0004464542153694018,0.0004464542153694018
