Dimension,Max Diff Category,Signed Pct Diff at Max,Max Abs Pct Diff,L1 Total Abs Pct Diff,Total Variation Distance
Version,400.0,-0.011854706355108657,0.011854706355108657,0.023709412710217294,0.011854706355108647
Queue,Product Support,0.0055226273693540495,0.0055226273693540495,0.017538218444646612,0.008769109222323306
Priority,Medium,0.004241501977498174,0.004241501977498174,0.008483003954996376,0.004241501977498188
Type,Problem,-0.002180692704923881,0.002180692704923881,0.004361385409847762,0.002180692704923881
