column,L1_total_abs_pct_diff,max_diff_category,max_abs_pct_diff
Priority,0.005155891249154193,High,-0.0025779456245770827
Type,0.006496395127987428,Problem,-0.0024422180538981875
Queue,0.012822758620837362,Product Support,0.00434132233546955
Version,0.023197601478662722,400,-0.011598800739331394
